,Source IP,Destination IP,Destination Port,rule,Label,magnitude,priority_rank,is_fp
0,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
1,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
2,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
3,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
4,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
5,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
6,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
7,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
8,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
9,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
10,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
11,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
12,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
13,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
14,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
15,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
16,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
17,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
18,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
19,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
20,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
21,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
22,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
23,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
24,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
25,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
26,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
27,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
28,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
29,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
30,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
31,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
32,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
33,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
34,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
35,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
36,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
37,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
38,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
39,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
40,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
41,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
42,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
43,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
44,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
45,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
46,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
47,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
48,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
49,172.16.0.1,192.168.10.50,80,dos_flood,DoS Hulk,5.629418059367339,2.667,False
50,192.168.10.5,52.20.181.69,80,dos_flood,BENIGN,5.225746673713201,2.667,True
51,192.168.10.5,23.194.182.93,80,dos_flood,BENIGN,5.225746673713201,2.667,True
52,192.168.10.14,23.194.182.93,80,dos_flood,BENIGN,5.225746673713201,2.667,True
53,192.168.10.14,23.194.182.93,80,dos_flood,BENIGN,5.225746673713201,2.667,True
54,192.168.10.15,23.222.23.103,80,dos_flood,BENIGN,5.225746673713201,2.667,True
55,192.168.10.16,194.232.104.140,80,dos_flood,BENIGN,5.225746673713201,2.667,True
56,192.168.10.16,194.232.104.150,80,dos_flood,BENIGN,5.225746673713201,2.667,True
57,192.168.10.16,213.90.74.22,80,dos_flood,BENIGN,5.225746673713201,2.667,True
58,192.168.10.16,213.90.74.22,80,dos_flood,BENIGN,5.225746673713201,2.667,True
59,192.168.10.8,192.82.242.30,80,dos_flood,BENIGN,5.225746673713201,2.667,True
60,192.168.10.8,173.241.242.143,80,dos_flood,BENIGN,5.225746673713201,2.667,True
61,192.168.10.8,216.58.219.234,80,dos_flood,BENIGN,5.225746673713201,2.667,True
62,192.168.10.8,192.82.242.50,80,dos_flood,BENIGN,5.225746673713201,2.667,True
63,192.168.10.8,52.4.157.108,80,dos_flood,BENIGN,5.225746673713201,2.667,True
64,192.168.10.8,46.105.126.210,80,dos_flood,BENIGN,5.225746673713201,2.667,True
65,192.168.10.51,210.61.56.43,80,dos_flood,BENIGN,5.225746673713201,2.667,True
66,192.168.10.51,210.61.56.43,80,dos_flood,BENIGN,5.225746673713201,2.667,True
67,192.168.10.15,69.16.175.42,80,dos_flood,BENIGN,5.225746673713201,2.667,True
68,192.168.10.8,104.97.137.26,80,dos_flood,BENIGN,5.225746673713201,2.667,True
69,192.168.10.12,23.194.108.16,80,dos_flood,BENIGN,5.225746673713201,2.667,True
70,192.168.10.15,162.208.20.178,80,dos_flood,BENIGN,5.225746673713201,2.667,True
71,192.168.10.15,162.208.20.178,80,dos_flood,BENIGN,5.225746673713201,2.667,True
72,172.16.0.1,192.168.10.50,80,dos_flood,DoS Slowhttptest,5.225746673713201,2.667,True
73,172.16.0.1,192.168.10.50,80,dos_flood,DoS Slowhttptest,5.225746673713201,2.667,True
74,172.16.0.1,192.168.10.50,80,dos_flood,DoS Slowhttptest,5.225746673713201,2.667,True
75,172.16.0.1,192.168.10.50,80,dos_flood,DoS Slowhttptest,5.225746673713201,2.667,True
76,172.16.0.1,192.168.10.50,80,dos_flood,DoS Slowhttptest,5.225746673713201,2.667,True
77,172.16.0.1,192.168.10.50,80,dos_flood,DoS Slowhttptest,5.225746673713201,2.667,True
78,172.16.0.1,192.168.10.50,80,dos_flood,DoS Slowhttptest,5.225746673713201,2.667,True
